rule_id,jurisdiction,law_title,section,actor,behavior,target,applicability_notes,override_notes,risk_level,reliability_score,source_excerpt
23,Canada,Personal Information Protection and Electronic Documents Act,§ 6.1,organization,must obtain meaningful consent,personal information,applies to commercial activities,,high,0.74,"The knowledge and consent of the individual are required for the collection, use, or disclosure of personal information."
24,Canada,Personal Information Protection and Electronic Documents Act,§ 4.3.4,organization,may collect without knowledge or consent in limited circumstances,personal information,,permitted where collection is in the interest of the individual and consent cannot be obtained in a timely way,medium,0.58,Organizations may collect personal information without the knowledge or consent of the individual only if certain conditions are met.
25,Canada,Personal Information Protection and Electronic Documents Act,§ 4.5,organization,shall not use or disclose personal information for purposes other than those collected,personal information,applies unless new consent obtained or required by law,,medium,0.71,Personal information shall not be used or disclosed for purposes other than those for which it was collected.
26,Canada,Personal Information Protection and Electronic Documents Act,§ 4.7,organization,must protect personal information with appropriate safeguards,personal information,level of protection shall be proportionate to sensitivity,,low,0.66,Personal information shall be protected by security safeguards appropriate to the sensitivity of the information.
27,New York,Consumer Data Privacy Act,§ 6.1,data controller,must not engage in unlawful discrimination using personal data,consumers,applies to decisions that produce legal or significant effects,,high,0.61,No data controller shall process personal data in a manner that constitutes unlawful discrimination against consumers.
28,California,California Privacy Rights Act,§ 1798.185(a)(16),business,must comply with automated decision-making regulations,consumers subject to automated decision-making,applies when regulations are finalized by the Agency,,medium,0.52,The Agency shall issue regulations governing access and opt-out rights with respect to automated decision-making technology.
29,Texas,Texas Data Privacy and Security Act,§ 541.151,consumer,has right to opt out of targeted advertising,personal data processed for targeted advertising,applies to consumers who are Texas residents,,low,0.75,A consumer shall have the right to opt out of the processing of personal data for purposes of targeted advertising.
30,Illinois,Financial Data Transparency Act,§ 210.5(a),financial institution,must disclose material terms of consumer agreements,consumers of financial products,"applies to agreements entered after January 1, 2025","exempt for agreements under $5,000",medium,0.69,Every financial institution shall clearly and conspicuously disclose all material terms and conditions of consumer financial agreements.
31,Illinois,Financial Data Transparency Act,§ 210.7,financial institution,must report suspected fraud to state authority,consumer financial data,applies when institution becomes aware of unauthorized access,,high,0.73,"Upon discovery of unauthorized access to consumer financial data, a financial institution shall report such breach to the Department within 48 hours."
32,EU,General Data Protection Regulation,Art. 44,controller or processor,shall not transfer personal data to third country without adequate safeguards,personal data,applies to transfers to third countries or international organizations,permitted if adequate level of protection per Art. 45 or appropriate safeguards per Art. 46,high,0.93,Any transfer of personal data to a third country shall take place only if the conditions laid down in this Chapter are complied with.
33,California,California Privacy Rights Act,§ 1798.121(a),business,shall not sell or share sensitive personal information,consumers' sensitive personal information,applies after consumer directs business to limit use,does not apply if consumer has not exercised right to limit,high,0.84,A business that collects a consumer's sensitive personal information shall limit use to that which is necessary.
34,Texas,Texas Data Privacy and Security Act,§ 541.055,controller,must respond to consumer rights requests,authenticated consumer request,within 45 days of receipt,may extend by additional 45 days where reasonably necessary,low,0.78,A controller shall respond to a consumer request without undue delay but no later than 45 days.
35,New York,Consumer Data Privacy Act,§ 8.3,data controller or processor,may transfer data to third parties only under written agreement,personal data,applies to all third-party data sharing arrangements,,medium,0.83,Transfer of personal data to a third party shall occur only pursuant to a written contract that ensures equivalent protections.
36,Canada,Personal Information Protection and Electronic Documents Act,§ 4.9,organization,must make information about policies and practices readily available,individuals,upon request,,low,0.8,An organization shall make readily available to individuals specific information about its policies and practices.
